text,sentiment
yeah yeah the advertisements didnt even try to conceal the fact that this movie had only one hook sex,negative
neve campbell and starship troopers denise richards getting it on,negative
ok,negative
yeah its a decent two minutes of film erotica but even if thats your main interest in this film theres plenty of cheeziness to sit thru in exchange for those two minutes,negative
wild things does have a lot more to think about than you might expect however,negative
nearly every single scene is a huge plot twist guaranteed to leave you guessing or at least curious to see the next turn throughout the entire movie,negative
but this fastpaced razorsharp turning of events doesnt leave much time to enjoy the surprises,negative
we start off in a highclass california high school where every student resembles a supermodel in the making,negative
guidance counselor sam lombardo matt dillon seems to catch the eye of every student particularly kelly van ryan richards daughter of the locally prestigious family whose social status is about as high as their bank accounts,negative
right off the bat kelly is using every asset she has in an effort to seduce mr lombardo,negative
the fundraiser car wash seems the opportune time particularly when you wash your guidance counselors jeep in all white clothes and take plenty of precautions to insure youll be soaked from head to toe when youre done,negative
on the weekend of the car wash kellys attempts at seduction fall flat and when they do she concocts the tale that sam in fact raped her that day,negative
naturally sam is thrown into a state of panicked shock at these accusations,negative
but the otherwise unsubstantial fabrications soon lead to a criminal trial when a lowclass marijuana smoking student by the name of suzie toller campbell comes forth with a near identical story also involving her trusted guidance counselor,negative
pitting himself against the communities most respected names and authoritarians sam must prove his innocence thru the aid of his makeshift defense attorney ken bowden played by bill murray,negative
yes that bill murray,negative
sound like a good complete movie,negative
yes that alone could have been but this is just the beginning,negative
in fact the trial is over about fifteen or twenty minutes into the film,negative
it is merely used to launch the most twisted story of recent time,negative
by the time the movie finishes you will have gone thru every plot twist imaginable,negative
unfortunately with so much going on youre not given enough time in one predicament to be as effectively shocked when a new twist comes about,negative
this is just one way director john mcnaughton fails to make this movie as fun as it couldve been,negative
the 113 minutes fly by and although it never feels underdeveloped this pretzel of storytelling couldve been much more richly realized had a slower pace been taken,negative
the acting is incredibly reminiscent of fox primetime soap operas which no is not a good thing,negative
and its not just campbell who happens to hail from the primetime fox soap party of five but everyone suffers from heavily melodramatic overtones,negative
dillon who was so charming in his understated role in last years in out gives the best performance and murrays surprising appearance adds some comedic flare to the film,negative
in fact if the whole movie had been promoted as a subtle comedy even if it was the exact same film i would actually give it a better grade,negative
thats how cheezy it comes off,negative
but aside from these two the rest offer nothing more than some good eyefulls,negative
in the right hands wild things couldve been a wickedly delightful scrumptiously twisted thriller but instead we get juvenile overuses of profanity and some very laughable displays of acting,negative
and whats up with these people passing as high school students,negative
i realize hollywood often casts older actors to play teenage roles but when i realized it wasnt supposed to be a college they were at i had to snicker,negative
i wont lie this is definitely a guilty pleasure,negative
as corny as it is its got some interesting aspects and could deserve at least a b for effort,negative
but if you just want to admire denise richards go for last years starship troopers which was every bit as campy but a million times better,negative
of course if seeing her breasts is your most important goal youll be right at home with wild things,negative
perhaps the wildest thing of all is that somebody actually looked at this and thought it deserved to be in theaters,negative
senseless is a prime example of what can happen when you try to push a onejoke concept a bit too far,negative
director penelope spheeris is no stranger to this having subjected audiences before to such tortures as the beverly hillbillies,negative
marlon wayans stars as darryl witherspoon a college senior vying for a lucrative job at a prominent brokerage,negative
however he lacks the advantages of his chief opposition scott thorpe david spade in the smarmy sort of role he can deliver in his sleep an athletic record sponsorship by a fraternity and most of all a wealthy family to back him up,negative
in fact darryl has to work at four jobs simply to make ends meet,negative
but there may be a light at the end of that tunnel,negative
he signs up as a human guinea pig in a neurological experiment run by the universitys dr wheedon brad dourif,negative
as a result his senses are magnified tenfold,negative
using his newfound abilities he sets himself in complete pursuit of the job unaware that there may be some disadvantageous sideeffects to having super senses,negative
naturally marlon wayans plays this comedy at full throttle giving jim carreyish amounts of physical humor,negative
the problem is aside from a few genuinely inspired bits theres not much thats funny here,negative
the film has its one central gag and pads out the rest of its length with rather obvious lowbrow humor,negative
there obviously wasnt much thought put into the plot,negative
the entire job selection process is completely ridiculous,negative
i mean why the emphasis on extracurricular activities if the entire job is going to come down to a singleelimination quiz anyhow,negative
and is this the only job being offered to economics majors this semester,negative
to give it credit senseless does try to create a secondary joke with darryls roommate tim laflour matthew lillard,negative
apparently he is supposed to be faddish but the film never does anything with him leaving him in a piercing phase throughout the movie,negative
his intervention scenes with darryl however do provide a rare and welcome laugh,negative
and then theres the love interest which is always pathetically tacked onto comedies like this one,negative
in this case the object of darryls amor is janice tamara taylor a fellow student who wont have anything to do with darryl until he gains his supersenses,negative
needless to say the romance is completely extraneous and adds little to the film,negative
this is a film that desperately needed something else,negative
be that a good plot more jokes or simply funnier ones or a strong character or two anything would have helped senseless get off the ground,negative
as it is all the manic exuberant mugging in the world cant help marlon wayans get this one off the ground,negative
this was the last carry on movie if you discount carry on columbus as a carry on movie and was made by a new production company,negative
based in central london this movie is about the attempts by emmanuelle prevert suzanne danielle to bed her husband emile the french ambassador kenneth williams,negative
when he seems unwilling she is given his permission to bed anyone she likes such as the prime minister and the u s ambassador,negative
her antics get her into trouble and the british press spread these rumours all over their front pages,negative
she is invited to talk on television to set the record straight but only confirms the rumours instead,negative
meanwhile theodore valentine larry dann is in love with emmannuelle after a chance encounter in the toilet of the concorde and is determined to marry her,negative
however she is only interested in restoring her husbands ardour which seems a little difficult after emiles accident with a church spire,negative
this film is the second worst carry on movie the worst being carry on england,negative
it is embarassing to see some of the remaining regulars struggle through this diabolical script by lance peters and try to pull off some of the crude and tasteless jokes that he has written,negative
newcomers suzanne danielle and beryl reid as mrs valentine are mildly funny but larry dann as theodore is excruciatingly bad,negative
kenneth williams only appears in a few scenes and his lacklustre performance is warranted given the script,negative
the small parts for jack douglas as lyons the butler joan sims as mrs dangle kenneth connor as leyland the chauffeur and peter butterworth as richmond are worthless and embarassing,negative
in fact all four parts are surplus to requirements,negative
however the only humourous scene in the film is when the four of them and emmannuelle talk about their most amourous escapades,negative
an awful script a terrible collection of jokes very poor production values especially the scene where emmannuelle takes her clothes off at st james palace a ludicrous and cringeworthy musical score and a nonexistent plot or storyline,negative
