text,sentiment
with more and more television shows having gay characters and even the infamous ellen sitcom being centered on the life of a lesbian the movie industry too seems to be gaining more and more homosexual based plot lines,positive
the birdcage was critically acclaimed as was this years chasing amy,positive
then along came in out and all three of these films are on my top ten list for the years in which they were released,positive
its also noticeable that this alternative lifestyle becomes less and less taboo as the years go by and it seems that using comedy as a medium is proving a worthwhile effort,positive
while its a very serious issue to many it is the comedies that people are flocking to see and that are gaining notoriety,positive
but the way were using comedy to present homosexuality is also changing quite dramatically,positive
while the gay community was once very stereotyped and used to laugh at it is more and more becoming something we laugh with and when a movie like in out comes along it is something that both heterosexuals and homosexuals should be able to thoroughly enjoy,positive
it doesnt poke fun at the lifestyle it simply uses it to all its comedic capacity just as love sex marriage birth death and anything else has been,positive
the idea for in out was born the day tom hanks won his oscar for portraying an aidsafflicted gay man in philadelphia,positive
if you remember during his acceptance speech hanks gave a highly emotional tribute to the gay community and even sighted a former gay teacher of his as a major inspiration in his life,positive
its a serious and touchy subject but producer scott rudin viewed it as the setting for a potentially hilarious comedy and pitched it to screenwriter paul rudnick,positive
its true that if this same film had been written by a heterosexual it may have been more controversial but because it was written by an openly gay writer the prerogative was set,positive
kevin kline who only seems to become more and more acclaimed stars as howard brackett a high school english teacher in the small picturesque town of greenleaf indiana,positive
after a threeyear engagement to fellow teacher emily montgomery joan cusack a wedding date has been set and the hubbub surrounding it is almost as big as that surrounding another huge story greenleaf high graduate cameron drake matt dillon is up for a best actor oscar,positive
the small town eagerly awaits both events and both seem quite astronomical but little does anyone know how much one will affect the other,positive
when cameron drake is announced the winner the excitement is heightened as he pays tribute to his high school english teacher mr brackett,positive
everyone is cheering back in greenleaf that is until cameron tacks on those three calamitous words and hes gay,positive
the town becomes silent as the entire population joins in a simultaneous jaw drop,positive
the thing is nobody including howard can understand how cameron came to that conclusion and such wild and unexpected news can only wreak havoc in such a conservative american haven such as greenleaf,positive
naturally the questions pour from howards fiancee parents debbie reynolds wilford brimley students and the high schools principal tom halliwell bob newhart and the evidence starts to become more and more obvious howard is clean neat honest sincere a romantic and perhaps the most incriminating fact he loves barbara streisand,positive
the frenzy isnt helped any when camera crews from every conceivable news magazine and entertainment tonight wannabe show up at greenleaf high the very next morning,positive
one particular reporter is peter malloy tom selleck of inside entertainment who unlike the collage of other reporters wants to spend a whole week in the life of howard brackett including coverage of his wedding,positive
